affected_state_blocks,artifact_status,baseline_label,bibliography_touched,candidate_only,case_name,clock_prior_sigma_ns,convergence_probability,estimator_mode,existing_manuscript_result_files_touched,fallback_behavior,fallback_reason,fallback_triggered,family,finite_output,generated_manuscript_pdfs_touched,human_signoff_required,initial_localization_rmse_m,initial_synchronization_rmse_ns,jacobian_columns,jacobian_rank,jacobian_rows,localization_rmse_m,manuscript_directories_touched,manuscript_ready,measurement_mode,non_final,normal_condition,normal_dimension,normal_rank,not_for_manuscript_submission,notebook_used,num_satellites,num_users,objective_decreased,perfect_clock_oracle,position_prior_level,position_prior_sigma_m,prior_sources,psfrag_touched,residual_cost_after,residual_cost_before,response_letter_touched,runtime_seconds,safeguard_reasons,stage,synchronization_rmse_ns,truth_state_used_for_acceptance,truth_state_used_for_covariance,truth_used_only_for_offline_metrics,truth_used_to_simulate_prior_measurement,update_norm,work_in_progress_figures_touched
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,0.10000000000000611,1264.4328604608095,18,18,36,0.0537981627871802,False,False,dl_only,True,147.18665976200097,18,18,True,False,4,3,True,False,0.1_m,0.1,gnss_position_prior,False,0.7200371288214098,253127084.506985,False,0.01599999999962165,,stage_a_dl_only,0.05594528774725547,False,False,True,True,0.8210160248352181,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,0.10000000000000611,1264.4328604608095,18,18,54,0.032100687695656674,False,False,cooperative,True,221.4724275280326,18,18,True,False,4,3,True,False,0.1_m,0.1,gnss_position_prior,False,0.5422763617578019,269952031.07575417,False,0.0,,step_b_jcls,0.05601960975088291,False,False,True,True,0.8210161230429894,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario_c7_from_prior,,1.0,step_c7_residual_cov_sync_safeguard,False,none,none,False,gnss_aided_initialization,True,False,True,0.032100687695656674,0.05601960975088291,,,,0.019684356218849706,False,False,cooperative,True,,,,True,False,4,3,True,False,0.1_m,0.1,carried_from_step_b,False,0.0004973138416627366,0.5422763617578019,False,0.015000000000327418,,c7_jcls,0.0556043906293089,False,False,True,True,4.415694169672771e-05,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,1.0000000000000084,1264.4328604608095,18,18,36,0.1966562088662854,False,False,dl_only,True,1653.8298621015854,18,18,True,False,4,3,True,False,1_m,1.0,gnss_position_prior,False,0.03087847841258825,253125205.74622378,False,0.01599999999962165,,stage_a_dl_only,0.5536490405060904,False,False,True,True,0.8210245080498371,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,1.0000000000000084,1264.4328604608095,18,18,54,0.1954571354381706,False,False,cooperative,True,2490.2915554625574,18,18,True,False,4,3,True,False,1_m,1.0,gnss_position_prior,False,0.01270674918924944,269950740.6887033,False,0.0,,step_b_jcls,0.550862102298815,False,False,True,True,0.8210244673579306,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario_c7_from_prior,,1.0,step_c7_residual_cov_sync_safeguard,False,none,none,False,gnss_aided_initialization,True,False,True,0.1954571354381706,0.550862102298815,,,,0.19521248983629907,False,False,cooperative,True,,,,True,False,4,3,True,False,1_m,1.0,carried_from_step_b,False,0.0021364321359280103,0.01270674918924944,False,0.015000000000327418,,c7_jcls,0.5505757283486004,False,False,True,True,6.409686267539164e-06,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,10.000000000000009,1264.4328604608095,18,18,36,0.8607682594762849,False,False,dl_only,True,90478.01390242964,18,18,True,False,4,3,True,False,10_m,10.0,gnss_position_prior,False,0.02972425296904942,253131410.61408448,False,0.0,,stage_a_dl_only,2.565038136613256,False,False,True,True,0.8211952440709068,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,10.000000000000009,1264.4328604608095,18,18,54,0.7160105597931233,False,False,cooperative,True,105589.12820367752,18,18,True,False,4,3,True,False,10_m,10.0,gnss_position_prior,False,0.7347571515078154,270016031.9650347,False,0.0,,step_b_jcls,2.133270478253285,False,False,True,True,0.8211944743039716,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario_c7_from_prior,,1.0,step_c7_residual_cov_sync_safeguard,False,none,none,False,gnss_aided_initialization,True,False,True,0.7160105597931233,2.133270478253285,,,,0.7059796556925896,False,False,cooperative,True,,,,True,False,4,3,True,False,10_m,10.0,carried_from_step_b,False,0.027823183381837115,0.7347571515078154,False,0.01599999999962165,,c7_jcls,2.117314197268232,False,False,True,True,6.727379547397501e-05,False
,non_final_gnss_baseline_exploration,gnss_aided_initialization,False,True,Nu3_Ns4_gnss_position_prior_scenario,,1.0,,False,,,,gnss_aided_initialization,True,False,True,99.99999999999997,1264.4328604608095,18,18,36,1.8021480369549163,False,False,dl_only,True,181569.81412909052,18,18,True,False,4,3,True,False,100_m,100.0,gnss_position_prior,False,12.125589640590984,255692666.8980735,False,0.0,,stage_a_dl_only,6.013980905422561,False,False,True,True,0.8389561481417187,False
